"","ID","sentences","nchar"
"1538","doc 2024","know deaths",45
"1539","doc 2025","made huge difference there certain areas minnesota especially rural areas poorer areas services anything",198
"1540","doc 2026","little_earth places think_just continues short stick resources",139
"1541","doc 2028","section group residential housing income housing",76
"1542","doc 2029","just neighborhood park infested needles",58
"1543","doc 2030","people actively using overdosing place",59
"1544","doc 2032","give much time possible nobody shit succinctly just follow valhalla",183
"1545","doc 2033","funds minnesota amazing",38
"1546","doc 2034","really lucky state treatment funded insurance companies",94
"1547","doc 2035","whether somebody straight medical assistance even provider straight medical assistance whatever county pick",179
"1548","doc 2036","fill paperwork sign stuff chemical health assessment them shoot whatever county need methadone suboxone sign",238
"1549","doc 2038","state insurance medica blue care state based income",115
"1550","doc 2039","private insured times pays",54
"1551","doc 2041","every people insurance even_though supposed pocket",126
"1552","doc 2042","income income take money",65
"1553","doc 2043","fill forms stuff make_sure county",88
"1554","doc 2044","legally take somebody money capabilities",73
"1555","doc 2045","like twenty thousand dollars year which assuming anyone working wouldn even requirement",143
"1556","doc 2046","just_kind rigmarole whatever coverage need methadone suboxone",116
"1557","doc 2047","methadone sure covered providers",51
"1558","doc 2048","suboxone just depends expensive",52
"1559","doc 2049","county",39
"1560","doc 2052","like especially hennepin county county largest county minnesota pick suboxone price methadone cosaintabout eighteen dollars",214
"1561","doc 2055","figure many_people currently treatment maybe many_people funding thousands thousands dollars",141
"1562","doc 2056","know residential treatment program thirty days people sending people shelling eight grand month",131
"1563","doc 2058","paying year even months looking three four five thousand dollars",114
"1564","doc 2059","times however many treatment",47
"1565","doc 2060","clinic alone think eleven hundred clients just clinic alone active dosing right",114
"1566","doc 2061","valhalla largest provider medicated assisted treatment state minnesota",90
"1567","doc 2062","seventeen programs minnesota",45
"1568","doc 2064","recently merged meridian behavior health",53
"1569","doc 2065","alliance another methadone clinic",56
"1570","doc 2066","pinnacle brainerd well",52
"1571","doc 2067","turning valhalla valhalla give background valhalla story awesome",122
"1572","doc 2068","laughs valhalla norse mythology basically fight good evil",88
"1573","doc 2069","former owner patient methadone another clinic",61
"1574","doc 2070","business owner tremendous amount finances things just_like treated clinic",147
"1575","doc 2071","missed appointment business partner supposed arizona late meeting",130
"1576","doc 2072","like this baloney",48
"1577","doc 2075","want said want open clinic built",97
"1578","doc 2076","built somebody gets addiction",72
"1579","doc 2077","understands methadone opiate problem think makes different places really client",147
"1580","doc 2078","people person detail describe experience treatment versus treatment valhalla think experience client pasainti gone treatment california couple occasions",255
"1581","doc 2079","think three maybe three four",44
"1582","doc 2080","experience everybody else",65
"1583","doc 2082","nobody asked questions history maybe trauma abuse things",98
"1584","doc 2086","abstinence based sure like minnesota model twelve_step minnesota model sure",118
"1585","doc 2088","throw around words hear client centered client focused whatever really case",134
"1586","doc 2090","never treatment catered needed",58
"1587","doc 2091","treatment catered people thought needed",64
"1588","doc 2092","thought needed treatment next right next",77
"1589","doc 2093","make sense story",63
"1590","doc 2094","expectation quit everything right",67
"1591","doc 2095","pressure look magic medication crack cocaine minimal physical mental came still smoke weed along side might like okay",277
"1592","doc 2099","kick curb",41
"1593","doc 2100","else going going thing always done",82
"1594","doc 2101","going pick continue experience think little different think different",150
"1595","doc 2102","think ready something different",49
"1596","doc 2103","realized ball missed past went like unclear said need",111
"1597","doc 2104","told things knew certain things know work help really forth different effort",186
"1598","doc 2105","although programs went still minnesota model part right required change attitude think",147
"1599","doc 2106","think ready",43
"1600","doc 2107","think necessarily person think_people still successful mandated treatment jail probation making",184
"1601","doc 2108","mean choice still unless locked facility walk",95
"1602","doc 2109","still even back probation required treatment pretty_much every time",100
"1603","doc 2110","learn anything",37
"1604","doc 2111","still remember things learned",45
"1605","doc 2112","just probably time feel_like individual",79
"1606","doc 2114","prison system really need another number",74
"1607","doc 2115","cool that right mandated state california yeah something currently interested researching just cosaintborne state california yeah california paid things",265
"1608","doc 2116","something called prop funds treatment comes like criminal justice system somehow gets",140
"1609","doc 2117","laughs paid treatment courts drug court",97
"1610","doc 2118","drug court different drug court minnesota",62
"1611","doc 2119","drug court mandated",39
"1612","doc 2121","drug court minnesota choose drug court",54
"1613","doc 2122","courts times california waiting probation extremely shaming came couple minutes late court handcuffed immediately",197
"1614","doc 2123","arrested missed dates",39
"1615","doc 2124","used incarcerated thirty days",49
"1616","doc 2125","drug courts worked clients even drug courts uplifting supportive clients choose program",168
"1617","doc 2126","know long program yeah want",83
"1618","doc 2127","even pick relapse whatever kicked",86
"1619","doc 2129","continue work team people",59
"1620","doc 2130","like miss need graduated seen judges come behind chambers give tokens certificates treat like real people",219
"1621","doc 2131","super disconnect power differential california",97
"1622","doc 2132","just something choice minnesota might successful faster minnesota contingent sobriety necessarily",191
"1623","doc 2133","want sober necessarily going_back jail right",95
"1624","doc 2134","understanding treatment court break sobriety incarcerated",89
"1625","doc 2136","work certain things",54
"1626","doc 2138","maybe outpatient enough continue monitor things going",102
"1627","doc 2139","earn phases things_like",42
"1628","doc 2140","believe time record expunged",64
"1629","doc 2142","laughs charges like great stuff disappear",101
"1630","doc 2143","really empowering like clientele moves",62
"1631","doc 2144","certain phases write letter think earned phase increase drug court come court often whatever phase increase stipulates",209
"1632","doc 2145","yeah just completely different",45
"1633","doc 2147","everybody different think missed mark especially minnesota model",93
"1634","doc 2148","think_just thought everybody same addiction same really",112
"1635","doc 2149","brain chemistry science behind genetics things_like_that stuff active addiction next person went",185
"1636","doc 2150","even story exactly perceive somebody else totally different things",118
"1637","doc 2151","think missed specializing certain things involvement comes trauma open even thing",154
"1638","doc 2152","smoke weed kicked",36
"1639","doc 2153","think need open minded valhalla think completely different",95
"1640","doc 2154","even still actively using necessarily kicked",80
"1641","doc 2157","laughs depends",43
"1642","doc 2158","ideally source opiate means",57
"1643","doc 2159","choosing medication means picking prescriptions another provider",121
"1644","doc 2161","names prescription monitoring program make_sure picking opiates provider",124
"1645","doc 2162","things_like_that statewide network prescription monitoring actually program actually united states",145
"1646","doc 2167","doctor prescriber somebody name picking prescriptions whatever post oxycontin bullshit",168
"1647","doc 2168","states mandating going write prescription opiate somebody",129
"1648","doc 2172","average prescriber necessarily shoddy prescribers here still still there yeah absolutely",174
"1649","doc 2173","names like cringe picking prescription somebody",122
"1650","doc 2174","pain clinics prescribers still definitely need visit sometime near future",137
"1651","doc 2175","difference necessarily kick based elicit",84
"1652","doc 2176","opiate thing still working maybe refer higher level care mean outpatient working going_like groups",168
"1653","doc 2177","outpatient attend like three times week nine hours total",88
"1654","doc 2178","working maybe look residential treatment mean stop",100
"1655","doc 2180","still medications medication counseling valhalla",95
"1656","doc 2181","federally methadone clinics required counseling",62
"1657","doc 2182","just called legal drug dealer",56
"1658","doc 2183","think clients just come medications walk treatment involved",111
"1659","doc 2184","required first fourteen weeks meet counselor least fifty minutes week",109
"1660","doc 2185","creative treatment plan them chemical health assessment rule just baseline",148
"1661","doc 2186","funding drop done",41
"1662","doc 2188","update yearly kind changes made first fourteen weeks required federal meet least time month fifty minutes",235
"1663","doc 2189","willing that earn spot long qualify areas",119
"1664","doc 2193","provide counseling there groups things",97
"1665","doc 2194","mental_health services such well want that freak",97
"1666","doc 2195","clients continue smoke even come kind chemical analysis drug screens them show",165
"1667","doc 2196","obviously county picking treatment cosainthere sometimes problem",105
"1668","doc 2197","interfering life think sometimes county people maybe spend clinic realize most clients sitting smoking bongs everyday think times perception",279
"1669","doc 2198","somebody system",42
"1670","doc 2199","client walked gram habit heroin months later maybe used twice",153
"1671","doc 2200","huge success smoked entire time",66
"1672","doc 2201","looking drug screens times across board failure",88
"1673","doc 2203","going overdose",36
"1674","doc 2205","risk harm much lesser many treatment plans smoke weed instead shoot heroin",117
"1675","doc 2208","friends smoke businesses able function everyday",95
"1676","doc 2209","lesser risk worst thing someone doing smoke fricken weed",99
"1677","doc 2210","unmanageable discuss",39
"1678","doc 2211","clients realize become problem",56
"1679","doc 2212","great look stopping weed",44
"1680","doc 2213","stop well drugs well",76
"1681","doc 2214","amphetamine made huge comeback recently",53
"1682","doc 2215","think strength opiates",69
"1683","doc 2216","reports clients hate high high fentanyl",116
"1684","doc 2219","want high want falling high",58
"1685","doc 2220","meth kind evens gets little leveled",112
"1686","doc 2221","know opiates seeing there insane",62
"1687","doc 2222","stuff seeing hearing education carfentanyl",109
"1688","doc 2224","knew going eventually",42
"1689","doc 2225","ohio hundred overdoses small amount time",69
"1690","doc 2226","talking carfentanyl clients education outside since august last year waiting first cheap",176
"1691","doc 2227","thousand dollars china send",74
"1692","doc 2228","classified super easy",43
"1693","doc 2229","former drug dealer board gotten crack really cheap somewhere else sent",132
"1694","doc 2230","easy deal potency stuff right carfentanyl overdose december last year took eight shots narcan revive somebody",202
"1695","doc 2231","luckily happens front much narcan want able save somebody life",107
"1696","doc 2232","average person going doses",62
"1697","doc 2233","time gets maybe nasal things chances surviving still slim none",124
"1698","doc 2234","going able",39
"1699","doc 2235","know amount shots plus emts coming along never survived",114
"1700","doc 2236","never survived doubt mind carfentanyl",81
"1701","doc 2237","five year knew five people",66
"1702","doc 2238","waiting five pending hearing probably know comes epidemic term loosely think going worse gets better",202
"1703","doc 2240","love year things going better paying attention access naloxone things_like",162
"1704","doc 2241","reality drug fricken potent right",65
"1705","doc 2242","matter much naloxone walk around",54
"1706","doc 2243","carfentanyl amount fentanyl there noscapine stuff",102
"1707","doc 2244","many fricken types opiates people getting hands",80
"1708","doc 2246","normally used cancer patients chemo pain reliever",71
"1709","doc 2247","hennepin county december",42
"1710","doc 2248","last year hennepin county little blip",69
"1711","doc 2251","prescription painkillers sprayed liquid fentanyl",67
"1712","doc 2252","liquid fentanyl bust november last year nothing getting better",88
"1713","doc 2253","taking notice epidemic because rich affluent white people dying disease",121
"1714","doc 2254","become noticeable problem people speaking",69
"1715","doc 2255","think_people speaking people potentially heard times",115
"1716","doc 2256","families little_earth losing handfuls handfuls loved ones community",97
"1717","doc 2257","listening years going",65
"1718","doc 2258","speak live edina suddenly heard",61
"1719","doc 2259","long people hearing something saying something something think done something long_time watched just escalate",206
"1720","doc 2261","amount deaths hear daily basis clients work with unbelievable",107
"1721","doc 2262","numbers true numbers many_people died",82
"1722","doc 2263","everybody first going screens everybody",75
"1723","doc 2264","know many_people truly dying opiate",68
"1724","doc 2265","look complications things",42
"1725","doc 2266","think numbers even totals 2017 guessing seven hundred minnesota statewide",129
"1726","doc 2267","hennepin county hundred fifty three",47
"1727","doc 2268","went thirty nine percent 2015 noticed driving billboard",123
"1728","doc 2270","working sheriff department",45
"1729","doc 2271","hennepin county decided something year kind overdose thing much education possible paired mandating emts firefighters carry naloxone kind paired that just much right seeing billboards there monthly meetings providers people parents people lost loved ones police departments showing doing think everyone afraid finally",544
"1730","doc 2272","longest time whole nimby thing back yard affect affect",149
"1731","doc 2274","losing everybody every time turn around another person",71
"1732","doc 2276","lost many here reality lost less clinic clients lost people currently here maybe treatment",186
"1733","doc 2277","think getting treatment services things_like access naloxone kind_things much educated staff here obviously problem weren here think still missing mark protocol naloxone distribution clients give clients allowed allowed sort treatment provider treatment program administer naloxone part steve",572
"1734","doc 2278","kinds stipulations fill little form written variance program thing saying administer naloxone residential treatment program",213
"1735","doc 2281","fine reality hundred dollar fine versus somebody dead rather fine",128
"1736","doc 2282","stipulations programs order administer naloxone",85
"1737","doc 2283","variance prescribers",53
"1738","doc 2284","doctor prescribes medication basically unclear medication",93
"1739","doc 2285","naloxone available anywhere pharmacy counter",74
"1740","doc 2289","ones kind open mind",53
"1741","doc 2290","laughs know ones willing test waters even_though many",124
"1742","doc 2291","call make_sure explain half time",87
"1743","doc 2293","pharmacy state minnesota give naloxone",68
"1744","doc 2294","just prescriber medical fricken main medical minnesota",127
"1745","doc 2295","whatever standing unclear medication doctor prescribes",100
"1746","doc 2296","train client",37
"1747","doc 2298","train client reverse overdose",48
"1748","doc 2300","really much information just want demographics going",80
"1749","doc 2303","want know_going want know used want come_back tell",106
"1750","doc 2305","know successful there dispense huge amount",111
"1751","doc 2306","year alone dispensed probably thirteen fourteen hundred kits year",113
"1752","doc 2308","huge amount come",36
"1753","doc 2309","clients know self proclaimed narcan queen",55
"1754","doc 2310","laughs narcan girl community still drug dealer laughs right",92
"1755","doc 2311","dealing drugs different level though",50
"1756","doc 2312","completely different level funny sunday friend mine last place ever used",115
"1757","doc 2314","bringing auto injectors naloxone expired give people street",151
"1758","doc 2315","still like position valhalla just that training stuff",147
"1759","doc 2317","something just started almost year_half",82
"1760","doc 2318","year_half first client overdose like want again yeah",117
"1761","doc 2319","eight thirty night",38
"1762","doc 2320","leave clock afternoon",40
"1763","doc 2321","eight thirty night waiting family call tell alive",107
"1764","doc 2322","home knew coming next needed honestly",103
"1765","doc 2324","thought myself feeling like client imagine family member somebody really_knows somebody personally different level even_though probably know client family quite often affected feeling waiting find okay nobody fricken feel_like",400
"1766","doc 2325","started just_kind haywire narcan thing transition part little_earth",158
"1767","doc 2326","went training finally",41
"1768","doc 2327","snuck times training community",75
"1769","doc 2328","started education colleges",49
"1770","doc 2330","professors talking medically assisted treatment",68
"1771","doc 2331","word mouth people started hearing name",47
"1772","doc 2332","turned bigger bigger expected",51
"1773","doc 2333","caseload dropped part just_kind time",103
"1774","doc 2335","sunday three clock afternoon middle schedule work around just whatever took make_sure stuff",200
"1775","doc 2338","talked know bigger bosses things_like",68
"1776","doc 2339","chuck hilger bosses program",73
"1777","doc 2341","gave pointed direction something just missing",90
"1778","doc 2342","else narcan from average person walking fucking pharmacy saying narcan firsainti going judged",167
"1779","doc 2343","give name going active user sure hell going narcan pharmacy",141
"1780","doc 2344","going needles anymore usually give",97
"1781","doc 2345","just started much clients staff jusaintyeah",104
"1782","doc 2347","trained kenyon police department even know town kenyon existed",103
"1783","doc 2349","went trained narcotics unit police department first responders first people respond small town like police",162
"1784","doc 2351","kenyon trained many treatment programs possible",72
"1785","doc 2352","meridian narcan patient residential sites open came along",94
"1786","doc 2354","going work together guys that trained staff nursing residential programs that abstinence based sobriety abstinence based absolutely",236
"1787","doc 2355","mean people",38
"1788","doc 2356","like_know still",51
"1789","doc 2357","educating harm_reduction methadone",63
"1790","doc 2358","rccs restoration counseling community services think last week narcan training",117
"1791","doc 2359","methadone assisted treatment kind education",66
"1792","doc 2361","emts save life corporation like first responder classes couple times month",101
"1793","doc 2362","just come spend thirty minutes narcan training talk opiates",91
"1794","doc 2363","laughs originally volunteering",48
"1795","doc 2364","like_said start checking many clients dose",112
"1796","doc 2365","normally people miss days notice gone three days normal start looking jails arrested",210
"1797","doc 2367","fact starts morning looking obituaries recognize names bullshit that",154
"1798","doc 2368","anybody normal",38
"1799","doc 2370","something really address problem fill talk stuff going matter",120
"1800","doc 2371","going make difference",36
"1801","doc 2375","much fucking stigma comes along that especially something prevalent yeah",120
"1802","doc 2378","going anywhere anonymous shamed methadone suboxone twelve_step meeting using tool along treatment accepted much",274
"1803","doc 2379","depends group quite often shamed told clean",85
"1804","doc 2380","words like clean dirty clean means point dirty",106
"1805","doc 2381","person active addiction shamed death nothing worse telling long",153
"1806","doc 2382","need people supporting",55
"1807","doc 2384","recover",37
"1808","doc 2386","fucking care recover light bulb methadone plant going work",124
"1809","doc 2388","smoking going risk going less going start smoking hopefully maybe slow different direction methadone treatment teen challenge",271
"1810","doc 2391","think told everybody things",104
"1811","doc 2393","extremely high success rates",36
"1812","doc 2394","medication assisted treatment extremely successful long_term",71
"1813","doc 2395","people need methadone suboxone least year",67
"1814","doc 2396","anywhere days research done",55
"1815","doc 2397","took year qualify program going take probably year life together average length depends person",197
"1816","doc 2398","people year year_half couple_years",64
"1817","doc 2399","kind ready titrate taper medication merry little",102
"1818","doc 2400","people intention ever leaving okay",61
"1819","doc 2401","people_know quite done decide back little while come_back",131
"1820","doc 2402","always just hope make back",41
"1821","doc 2403","clients readmit program",72
"1822","doc 2404","shit just thrilled walk back door know made aren need something different",160
"1823","doc 2405","think education huge part",38
"1824","doc 2406","educating honesainti think education piece needs done people",94
"1825","doc 2407","people active users even ones actively using",71
"1826","doc 2408","people maybe methadone well",52
"1827","doc 2409","people maybe still actively using",41
"1828","doc 2412","suits society people maybe trained certain things time",108
"1829","doc 2414","think ignoring long_time",46
"1830","doc 2417","laughs just product just work",70
"1831","doc 2418","gave people idea choice also think race thing absolutely",116
"1832","doc 2420","just okay weak choice",112
"1833","doc 2421","freaking everybody society still sees thing just quit need another medication just stop",156
"1834","doc 2423","explain father years know_said going quit smoking",121
"1835","doc 2424","holiday station buying another pack cigarettes that crack cocaine",102
"1836","doc 2426","know quit smoking guys little inhaler things that methadone",120
"1837","doc 2427","like like methadone",42
"1838","doc 2428","like exactly harm_reduction",41
"1839","doc 2429","less harm weaning",44
"1840","doc 2430","however care",40
"1841","doc 2431","absolutely works think need access treatment",62
"1842","doc 2432","think need programs opiate piece need programs accept everybody matter medication taking including methadone suboxone everybody",190
"1843","doc 2433","think fair make deciding factor somebody taking medication going take taking lithium gabapentin abused drugs",212
"1844","doc 2434","cause sedation cause combination things take fricken medications",111
"1845","doc 2435","take methadone",69
"1846","doc 2436","take methadone sixty milligrams less",77
"1847","doc 2437","well fuck person magical dose know anything",111
"1848","doc 2438","think leave experts doctors things make decision come program",156
"1849","doc 2439","outed shame stigma well good enough program",122
"1850","doc 2443","alienating huge population people amazing people ever entire life fricken fighting chance allow based judgment lack education there soap ties nicely wanted",291
"1851","doc 2444","policy changes like ideal world steph charge ideal world charge raise think naloxone every first responder police included quite often first scene every police department carries",344
"1852","doc 2445","speaking minnesota only able open doors anything",75
"1853","doc 2447","school systemisswe educating clinicians going field",92
"1854","doc 2448","think doctors medical field needs educated going",96
"1855","doc 2449","think really clue another person comes overdose referral process going",135
"1856","doc 2451","usually three hours discharged depends program facility",115
"1857","doc 2452","north memorial starting eighth month giving optional narcan anybody comes overdose",130
"1858","doc 2453","comes referral information stuff_like",61
"1859","doc 2455","even talking providers emergency department giving needles response",116
"1860","doc 2456","always stigma lack education",52
"1861","doc 2457","like_well partially cosaintbut reason dead people recover",105
"1862","doc 2458","short answer think problem enough affected",150
"1863","doc 2459","shitty fricken lost somebody somebody struggle order deal",124
"1864","doc 2461","think need minnesota land thousand treatments million treatment programs anyone into think narcan site every single them opening doors anyone medication assisted treatment think detox processes people going straight detox detox program instead anything like_that scary",437
"1865","doc 2462","think wait huge barrier going wait weeks freaking detox going forget",150
"1866","doc 2463","perception addiction need right that answer phone time care",123
"1867","doc 2464","well answer phone answer monday friday eight four",96
"1868","doc 2465","well weeks person might dead days",69
"1869","doc 2466","urgency trying just people straight",61
"1870","doc 2467","part policy piece",40
"1871","doc 2468","straight shot phone call make maybe waiting detox maybe give option want start suboxone methadone something interesaintyou started withdrawal waiting treatment going stay",329
"1872","doc 2469","going walk days last long",58
"1873","doc 2470","getting somewhat stable least somewhat comfy hours going treatment program something need",193
"1874","doc 2471","everyone doors open problem always going waiting list treatment many clients enough programs matter many always going wait lisaintand going ones people want referred often others opiate piece certain areas going take anybody withdrawal",448
"1875","doc 2472","figure know referring people treatment dimension withdrawal",121
"1876","doc 2473","high number going take",69
"1877","doc 2474","hospital firsaintwell great",52
"1878","doc 2476","going hold going next body",88
"1879","doc 2477","just missing order",46
"1880","doc 2478","think like guess aids crisis know took forever fucking recognize least nomenclature epidemic harkens back sort level also level ineptness deal currently",244
"1881","doc 2479","just sort sounds like recommending integration harm_reduction already prevalent minnesota model twelve_step patient well site withdrawal maybe maybe",205
"1882","doc 2480","figure something_like great",64
"1883","doc 2482","least always special beds available like saintjoe fairview people want medication assisted treatment",143
"1884","doc 2484","going treatment another especially overdoses someone overdoses automatic phone call",141
"1885","doc 2485","make phone call place",37
"1886","doc 2486","leasaintyou know card",37
"1887","doc 2489","plug just somebody come near death experience alright later",126
"1888","doc 2491","even quite often people overdose know remember happened family knows happened",119
"1889","doc 2494","society whole huge fucking ripple effect",51
"1890","doc 2495","something similar requirements suicide attempts things_like_that some yeah",144
"1891","doc 2497","hold seventy hours days depending situation",74
"1892","doc 2498","going serious medical problems coming along holding days next thing setting psychiatric help like suicide treatment whatever choices",316
"1893","doc 2499","people need choices think agency crucial choices",92
"1894","doc 2500","sounds good choice much successful even sound great least picking exactly",159
"1895","doc 2501","least might sound better",46
"1896","doc 2502","clients walk mandated treatment",62
"1897","doc 2503","nobody says come treatment valhalla place",59
"1898","doc 2504","think maybe person probation said come",76
"1899","doc 2505","clients come want come",50
"1900","doc 2506","wherever state change",40
"1901","doc 2507","whether just_going fill blanks really want stop",122
"1902","doc 2508","however fricken walk hardest thing someone know_what fricken anymore need help",182
"1903","doc 2509","somebody high fiving giving kudos support acknowledging instead shaming making feel_like shit just quit",195
"1904","doc 2510","missing stuff need whole money",67
"1905","doc 2511","narcan grants kinds stuff pocket",55
"1906","doc 2514","biggest goal jail prison system",52
"1907","doc 2515","naloxone there york amazing program jails prisons think fifty four jails prisons york state prior inmate released option narcan training narcan property",294
"1908","doc 2516","fricken amazing that highest risk people coming treatment jail overdose protect family trained well that cold turkey methadone suboxone incarcerated yeah made mistake yeah that setting failure three days days three years treatment coping skills going damn thing",585
"1909","doc 2518","away bubble",49
"1910","doc 2519","well jail years",40
"1911","doc 2520","fine prison couple_years",48
"1912","doc 2521","still wanted smoke crack",44
"1913","doc 2522","craving process safe little bubble sights smells sounds memory sticks things start somebody even incarcerated",217
"1914","doc 2524","maybe used opiates past talk somebody about know medical people treatment programisssetting something option coming jail programs attempted speak anyone shit",276
"1915","doc 2525","gotten create patient program telasis hennepin county jail",120
"1916","doc 2526","kind gotten door there sneaking narcan prisons little trying",121
"1917","doc 2527","state counties kind hoops jump",92
"1918","doc 2529","need fricken jail board",39
"1919","doc 2530","successful rest follow love copy",78
"1920","doc 2531","just program wants jail though find right right person that least hear show york done amazing program",248
"1921","doc 2532","eliminate recidivism well",37
"1922","doc 2533","along death toll comes along",50
"1923","doc 2534","showing care compassion people",75
"1924","doc 2535","committed crime still fricken person",60
"1925","doc 2536","still feel still bleed",42
"1926","doc 2537","think forget just made mistakes lives love narcan program",138
"1927","doc 2539","love medicated assisted treatment allowed fricken jails continued",86
"1928","doc 2540","arrest clients cold turkey write letters judge done",164
"1929","doc 2541","time person methadone suboxone pregnant",86
"1930","doc 2542","baby",43
"1931","doc 2543","going trauma baby jail handcuffs baby going_back jail delivery",152
"1932","doc 2544","shit trauma also going withdrawal couple days later",92
"1933","doc 2545","make sense successful baby methadone suboxone",94
"1934","doc 2549","time give reprieve case pregnant",87
"1935","doc 2550","client shakopee prison right",44
"1936","doc 2552","baby three five days later done",65
"1937","doc 2553","imagine going_like already going",95
"1938","doc 2554","prison system that hard just separate emotional investment gotten better",156
"1939","doc 2555","gotten much better learned take everybody stuff going able function",134
"1940","doc 2557","learned years leave stuff office back stephanie take care stephanie",159
"1941","doc 2558","take care everybody time",43
"1942","doc 2560","support guide listen make_sure know heard",109
"1943","doc 2562","times really great",74
"1944","doc 2563","extremely supportive",40
"1945","doc 2565","lost clients found things middle like",90
"1946","doc 2566","something",45
"1947","doc 2567","back hour just need little time decompress great amount time nice",176
"1948","doc 2568","places amount time",58
"1949","doc 2569","want take care hard",59
"1950","doc 2570","hard moved just studying academic sense last semester actually interviews this first conducted trial interviewing another parent floored",269
"1951","doc 2571","wrecked rest",37
"1952","doc 2572","like_going able this insane",63
"1953","doc 2574","times clients crying crying",86
"1954","doc 2576","client terminally know coming sooner later",78
"1955","doc 2577","always like crying like this hard trying prepare death prepare that trying grieve allow grieving process",233
"1956","doc 2578","understand trying deal right imagine seat think important real people machine",204
"1957","doc 2579","human share story going good client",76
"1958","doc 2580","something going help connect realize alone going harmful absolutely share stuff certain questions",190
"1959","doc 2582","going help absolutely",37
"1960","doc 2583","shit",39
"1961","doc 2584","share story treatment programs speak times",73
"1962","doc 2585","wish story anybody think need know",84
"1963","doc 2586","know_like chair",42
"1964","doc 2588","know_like record",38
"1965","doc 2590","know_like labels",48
"1966","doc 2591","guess what education career stuff",102
"1967","doc 2592","think proof many_people",53
"1968","doc 2594","society background whatever write freaking path bullshit",103
"1969","doc 2595","done dead",37
"1970","doc 2596","made seems like whole individualized humanized personal element valhalla yeah",152
"1971","doc 2598","think programs think_just individualized",80
"1972","doc 2599","thing happen person here like clients situation going circumstances still different",143
"1973","doc 2601","years know things",61
"1974","doc 2603","said depends thing around",56
"1975","doc 2604","well guys well different seems same well fight client",148
"1976","doc 2605","sometimes times fighting client means discharge higher risk continuing treatment",185
"1977","doc 2606","sucks protect myself protect company protect person",111
"1978","doc 2607","work difficult patients",40
"1979","doc 2608","also working clients committed full chemical_dependency commit",95
"1980","doc 2609","facilities sometimes care anoka counselors going them provide medication meet",202
"1981","doc 2610","order commit probably done things",55
"1982","doc 2611","numerous overdoses suicidal attempts hospitalizations systemissthings_like",100
"1983","doc 2612","either really_good good depending want look",98
"1984","doc 2613","high risk patients",37
"1985","doc 2615","sometimes saying methadone appropriate anymore make_sure safe decision",116
"1986","doc 2616","always hoping making right decision everybody difficult part",104
"1987","doc 2617","road really weigh ficken pros cons going less harmful",112
"1988","doc 2618","sometimes less harm saying",45
"1989","doc 2619","going work anymore letting hope find another",99
"1990","doc 2623","laughs every certain stories",45
"1991","doc 2624","extremely passionate making difference here tell",80
"1992","doc 2625","anything_else think important know dead people recover",90
"1993","doc 2627","little hashtags carry narcan important",61
"1994","doc 2628","thank letting hopefully part important",82
"1995","doc 2629","glad patients mine going heard project",77
"1996","doc 2633","robin evanson narrator sara ludewig aamot interviewers 2017 duluth minnesota robin evanson sara ludewig aamot begin state name give_permission record this okay name roberta evanson robin permission record this thanks 18th duluth want start telling little childhood family growing okay well born 1956",518
"1997","doc 2635","born last child five siblings father married mother daughter mother four",154
"1998","doc 2636","fourteen mother took foster child consider sister",81
"1999","doc 2638","mother superior wisconsin father ottumwa iowa",73
"2000","doc 2639","born 1919 born 1911 kind late child late child compared brother sisters",141
"2001","doc 2640","youngest next oldest sister eight years older",72
"2002","doc 2641","niece seven years younger",41
"2003","doc 2642","half sister twenty years older passed years",80
"2004","doc 2644","compulsive overeating kind substance_abuse issues",65
"2005","doc 2645","father think periodic drunk",49
"2006","doc 2646","whether alcoholic decision make unpredictable",100
"2007","doc 2647","long periods drinking followed short periods heavy drinking",79
"2008","doc 2649","physical mother front kids purpose front kids",84
"2009","doc 2650","morning middle night drag living room call names berate",124
"2010","doc 2651","made sure knew thought kind_thing five saved enough money move",123
"2011","doc 2652","oldest sister barbara come live gone back live sister aunt virginia",136
"2012","doc 2653","moved gotten married",44
"2013","doc 2654","fact married year born",43
"2014","doc 2655","next sister marlene already moved",49
"2015","doc 2656","gotten married brother still home",57
"2016","doc 2657","senior_year high_school sister kathy still course home",89
"2017","doc 2659","think_just left just getting ready start kindergarten brother decided stay really hard",158
"2018","doc 2660","wanted graduate high_school school",74
"2019","doc 2661","football team forth",40
"2020","doc 2662","soon graduation enlisted moved right away",58
"2021","doc 2663","much longer sister kathy moved redondo beach",79
"2022","doc 2664","worked jobs sister take care",59
"2023","doc 2665","sister kind picked left",49
"2024","doc 2666","resolved emotional issues violence",54
"2025","doc 2667","again periodic kind_thing",38
"2026","doc 2668","everyday kind_thing occurred pretty severe",78
"2027","doc 2669","really stop time really really went little climbed bedroom window hiding garden neighbor",161
"2028","doc 2670","found mother call",52
"2029","doc 2671","course back then know call work lose",95
"2030","doc 2672","call work come_home",50
"2031","doc 2673","idea said sister behind closed doors told needed make sister angry",149
"2032","doc 2674","work going support lose depend kathy keep",128
"2033","doc 2675","needed depend make sister angry",54
"2034","doc 2676","learned really young responsible going make_sure depend",116
"2035","doc 2677","really loved kathy kind found",57
"2036","doc 2678","think difficulty kathy person behind closed doors another person public",121
"2037","doc 2679","kind like beatles song eleanor rigby keep face door",86
"2038","doc 2681","loving relationship sister just mixed unpredictable kind_thing",124
